id,name,description,is_active,need_approval,created_at,updated_at,role_id,reports_to_role_id
312,tags.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,4,3
313,tags.show,null,1,,9/25/2023 8:04,9/25/2023 8:04,4,3
314,tags.store,null,1,,9/25/2023 8:04,9/25/2023 8:04,4,3
315,tags.update,null,1,,9/25/2023 8:04,9/25/2023 8:04,4,3
316,users.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,4,3
317,users.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,4,3
318,users.show,null,1,,9/25/2023 8:04,9/25/2023 8:04,4,3
319,users.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,4,3
320,users.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,4,3
321,accepted-domains.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
322,accepted-domains.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
323,accepted-domains.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
324,accepted-domains.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
325,accepted-domains.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
326,appreciations.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
327,appreciations.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
328,appreciations.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
329,appreciations.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
330,appreciations.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
331,campaigns.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
332,campaigns.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
333,campaigns.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
334,campaigns.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
335,campaigns.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
336,comments.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
337,comments.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
338,comments.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
339,comments.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
340,comments.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
341,contents.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
342,contents.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
343,contents.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
344,contents.store,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
345,contents.update,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
346,general.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
347,general.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
348,general.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
349,general.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
350,general.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
351,media.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
352,media.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
353,media.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
354,media.store,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
355,media.update,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
356,messages.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
357,messages.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
358,messages.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
359,messages.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
360,messages.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
361,notifications.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
362,notifications.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
363,notifications.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
364,notifications.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
365,notifications.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
366,resources.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
367,resources.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
368,resources.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
369,resources.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
370,resources.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
371,responses.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
372,responses.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
373,responses.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
374,responses.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
375,responses.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
376,roles.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
377,roles.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
378,roles.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
379,roles.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
380,roles.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
381,subjects.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
382,subjects.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
383,subjects.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
384,subjects.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
385,subjects.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
386,subscribers.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
387,subscribers.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
388,subscribers.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
389,subscribers.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
390,subscribers.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
391,tags.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
392,tags.index,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
393,tags.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
394,tags.store,null,1,,9/25/2023 8:04,9/25/2023 8:04,5,4
395,tags.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
396,users.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
397,users.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
398,users.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
399,users.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
400,users.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,5,4
401,accepted-domains.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
402,accepted-domains.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
403,accepted-domains.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
404,accepted-domains.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
405,accepted-domains.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
406,appreciations.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
407,appreciations.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
408,appreciations.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
409,appreciations.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
410,appreciations.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
411,campaigns.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
412,campaigns.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
