id,domain,type,created_at,updated_at,user_id,is_active
214,.caravan,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
215,.cards,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
216,.care,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
217,.career,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
218,.careers,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
219,.cars,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
220,.cartier,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
221,.casa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
222,.case,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
223,.caseih,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
224,.cash,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
225,.casino,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
226,.cat,sponsored,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
227,.catering,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
228,.catholic,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
229,.cba,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
230,.cbn,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
231,.cbre,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
232,.cbs,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
233,.cc,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
234,.cd,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
235,.ceb,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
236,.center,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
237,.ceo,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
238,.cern,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
239,.cf,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
240,.cfa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
241,.cfd,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
242,.cg,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
243,.ch,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
244,.chanel,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
245,.channel,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
246,.charity,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
247,.chase,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
248,.chat,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
249,.cheap,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
250,.chintai,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
251,.chloe,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
252,.christmas,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
253,.chrome,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
254,.chrysler,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
255,.church,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
256,.ci,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
257,.cipriani,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
258,.circle,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
259,.cisco,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
260,.citadel,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
261,.citi,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
262,.citic,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
263,.city,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
264,.cityeats,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
265,.ck,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
266,.cl,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
267,.claims,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
268,.cleaning,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
269,.click,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
270,.clinic,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
271,.clinique,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
272,.clothing,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
273,.cloud,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
274,.club,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
275,.clubmed,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
276,.cm,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
277,.cn,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
278,.co,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
279,.coach,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
280,.codes,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
281,.coffee,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
282,.college,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
283,.cologne,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
284,.com,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
285,.comcast,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
286,.commbank,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
287,.community,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
288,.company,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
289,.compare,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
290,.computer,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
291,.comsec,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
